state,year,homes_millions,avg_total_sqft,avg_heated_sqft,avg_cooled_sqft,pct_single_family,pct_detached,pct_basement,pct_basement_finished_of_basements,pct_finished_basement_all_homes,pct_basement_heated_of_basements,pct_attic,pct_attic_finished_of_attics,pct_attached_garage,pct_garage_1car_of_garages,pct_garage_2car_of_garages,pct_garage_3plus_car_of_garages,pct_stories_1,pct_stories_2,pct_stories_3plus,pct_stories_split_level,pct_heat_furnace,pct_heat_central_heat_pump,pct_heat_mini_split,pct_no_heating,avg_full_baths,pct_2plus_full_baths,pct_owners_count_basement_in_sqft,pct_owners_count_attic_in_sqft,pct_owners_count_garage_in_sqft
TX,2009,6.019,2090.0,1877.0,1826.0,100.0,94.2,0.8,,0.2,,51.3,4.1,57.5,14.8,76.0,9.2,76.9,22.2,0.8,0.0,80.9,3.5,0.0,2.0,1.85,69.1,,,
TX,2020,7.03,2087.0,1846.0,1795.0,100.0,96.5,2.5,52.1,1.3,19.4,78.7,15.7,68.0,16.1,71.7,12.2,72.2,26.0,1.0,0.8,70.4,14.5,0.8,3.1,2.04,81.0,33.5,11.5,30.9
TX,2024,7.85,2162.0,1846.0,1791.0,100.0,95.7,1.2,,0.3,,82.4,17.6,68.6,13.3,74.6,12.0,72.0,26.5,0.5,1.0,,,,,2.07,82.2,,13.3,34.8
VA,2009,2.058,2798.0,2446.0,2259.0,100.0,89.5,41.4,61.3,25.4,69.9,47.4,5.7,53.9,23.5,73.9,2.6,36.2,58.1,3.8,1.9,41.8,41.4,0.0,0.0,2.15,81.5,,,
VA,2020,2.272,2395.0,2185.0,1992.0,100.0,88.4,47.1,73.1,34.5,76.7,75.5,14.1,48.0,32.1,63.4,4.5,36.1,55.3,5.0,3.6,58.8,26.7,1.2,0.3,2.16,77.5,56.2,17.2,26.7
VA,2024,2.52,2443.0,2186.0,1942.0,100.0,83.5,48.8,75.1,36.7,,76.7,16.9,45.3,34.1,61.7,4.1,36.7,55.3,5.2,2.7,,,,,2.13,75.7,55.5,19.6,25.1
WI,2009,1.684,3110.0,2492.0,1583.0,100.0,92.1,94.1,54.3,51.1,63.5,20.1,10.5,59.5,12.7,72.7,14.6,47.6,50.7,1.1,0.6,85.0,0.0,0.0,0.0,1.64,49.6,,,
WI,2020,1.741,2470.0,2267.0,1836.0,100.0,93.9,94.8,48.5,46.0,77.3,59.0,8.9,58.8,19.8,61.8,18.4,52.2,40.8,3.1,3.9,88.4,0.8,0.0,0.4,1.59,49.8,31.5,10.9,7.6
WI,2024,1.789,2441.0,2210.0,1812.0,100.0,93.3,90.1,51.0,45.9,,66.6,5.2,58.0,14.2,63.4,22.5,48.0,44.4,3.3,4.4,,,,,1.8,59.7,37.7,10.5,15.8
AK,2020,0.188,2056.0,2007.0,43.0,100.0,84.8,24.9,75.0,18.7,85.0,33.0,12.5,66.6,30.9,55.3,13.8,33.7,55.6,5.3,5.4,38.9,0.3,0.0,0.4,1.85,69.4,72.1,20.3,28.5
AK,2024,0.197,2066.0,2032.0,62.0,100.0,88.0,24.8,76.5,19.0,,38.7,10.3,60.7,28.9,55.7,15.4,44.1,42.6,6.4,6.9,,,,,1.84,69.9,67.0,8.8,24.5
AL,2020,1.342,2043.0,1794.0,1618.0,100.0,97.3,19.3,63.9,12.3,50.9,71.3,10.5,41.4,25.4,70.9,3.7,79.5,18.1,0.2,2.2,46.8,38.8,0.0,0.0,1.89,71.3,33.3,10.1,25.2
AL,2024,1.52,2242.0,1926.0,1674.0,100.0,97.2,16.3,73.1,11.9,,79.4,18.3,50.5,17.6,71.2,11.2,75.0,21.9,1.3,1.8,,,,,1.99,74.7,56.7,10.2,26.5
AR,2020,0.873,2065.0,1830.0,1572.0,100.0,96.0,10.3,75.3,7.8,56.3,75.4,21.6,55.4,18.8,71.7,9.5,84.3,14.2,0.0,1.5,64.4,17.3,0.9,0.3,1.85,64.9,37.7,11.8,24.3
AR,2024,0.915,2046.0,1661.0,1469.0,100.0,97.4,7.2,56.3,4.1,,78.8,19.6,57.6,24.2,62.4,13.4,82.1,16.2,1.0,0.6,,,,,1.79,66.4,17.8,14.0,16.1
CT,2020,0.913,2604.0,2147.0,1425.0,100.0,91.6,90.5,43.3,39.2,45.2,71.5,9.0,57.2,33.2,52.3,14.6,27.7,63.4,5.4,3.5,70.6,1.4,0.4,0.0,1.84,62.4,32.4,14.5,17.7
CT,2024,0.959,2583.0,2053.0,1404.0,100.0,89.6,91.7,45.5,41.7,,70.2,13.7,61.5,30.8,64.0,5.2,28.5,63.1,5.9,2.5,,,,,1.79,64.3,27.3,13.7,13.2
DC,2020,0.087,2117.0,1877.0,1644.0,100.0,30.8,78.3,93.4,73.2,79.5,47.9,16.7,24.1,75.0,25.0,0.0,0.0,79.9,20.1,0.0,62.7,5.5,1.2,2.3,2.21,85.0,53.4,26.1,28.7
DC,2024,0.103,2038.0,1876.0,1641.0,100.0,32.0,83.2,86.0,71.5,,50.1,35.8,16.3,67.4,28.1,4.5,1.5,76.3,21.6,0.7,,,,,2.22,78.6,64.4,48.1,46.6
DE,2020,0.282,2425.0,2104.0,1906.0,100.0,86.8,57.2,48.0,27.5,49.9,70.1,6.1,65.7,21.8,73.1,5.1,41.4,53.4,5.1,0.0,64.2,19.0,2.2,0.0,1.92,74.4,32.5,9.1,12.1
DE,2024,0.314,2422.0,2144.0,1960.0,100.0,80.2,56.9,60.8,34.6,,62.0,9.2,68.6,21.9,73.1,5.0,35.4,54.3,8.0,2.3,,,,,1.98,74.0,48.3,11.0,13.2
HI,2020,0.31,1783.0,62.0,551.0,100.0,88.7,10.0,62.9,6.3,,34.9,14.9,70.2,21.7,73.5,4.8,58.1,37.3,2.8,1.8,1.3,0.3,0.0,94.0,2.06,75.2,51.4,11.3,31.0
HI,2024,0.321,1656.0,22.0,587.0,100.0,84.8,5.0,,3.9,,39.5,9.7,64.8,15.2,78.9,6.0,52.9,41.5,1.4,4.2,,,,,2.08,76.6,,19.6,42.9
IA,2020,1.036,2371.0,2177.0,1836.0,100.0,93.5,88.3,53.9,47.6,79.4,61.6,12.8,56.8,17.3,66.3,16.4,55.6,39.0,2.0,3.4,86.2,4.3,0.3,0.0,1.7,53.1,35.8,15.1,14.2
IA,2024,1.046,2489.0,2356.0,2104.0,100.0,93.8,88.0,64.9,57.1,,75.3,11.8,65.1,21.0,55.7,23.2,53.2,44.9,0.0,1.9,,,,,1.94,67.4,35.1,10.2,12.4
ID,2020,0.512,2247.0,2098.0,1590.0,100.0,95.1,41.8,82.2,34.3,77.1,53.2,7.5,71.8,13.1,57.8,29.1,60.5,32.9,2.3,4.3,76.2,2.7,0.5,0.0,2.07,75.8,71.3,10.5,21.1
ID,2024,0.586,2212.0,2073.0,1599.0,100.0,94.9,30.9,80.9,25.0,,57.3,6.5,77.2,11.4,57.3,31.3,64.5,32.6,1.1,1.8,,,,,2.09,83.4,67.0,2.5,14.9
IN,2020,2.115,2269.0,2059.0,1869.0,100.0,94.1,54.7,51.2,28.0,69.7,74.3,10.0,62.8,17.0,69.9,13.1,62.1,33.3,1.5,3.0,84.9,6.4,0.3,0.5,1.74,60.1,36.7,12.0,15.6
IN,2024,2.163,2338.0,2118.0,1823.0,100.0,94.7,49.8,55.1,27.4,,73.7,15.9,57.1,10.8,74.3,14.9,59.2,34.9,4.3,1.6,,,,,1.73,58.1,42.2,16.9,15.0
KS,2020,0.842,2309.0,2128.0,1982.0,100.0,93.8,73.4,77.3,56.7,82.3,73.8,5.9,71.5,27.7,53.7,18.6,57.9,30.2,3.1,8.7,90.2,3.4,0.0,0.0,1.95,63.4,51.9,13.8,22.1
KS,2024,0.942,2215.0,1946.0,1849.0,100.0,93.3,72.3,69.0,49.9,,71.5,7.4,65.9,28.5,52.5,19.0,64.7,26.5,3.6,5.1,,,,,1.95,64.5,47.1,9.4,23.0
KY,2020,1.325,2191.0,1981.0,1800.0,100.0,95.1,46.2,65.5,30.3,73.8,73.3,13.2,45.4,27.2,65.1,7.6,67.4,28.9,1.7,2.0,69.6,20.8,0.0,0.0,1.83,65.6,45.0,16.8,24.0
KY,2024,1.332,2352.0,2114.0,1900.0,100.0,95.4,49.8,56.7,28.2,,67.8,10.6,56.3,22.2,67.6,10.1,57.6,34.4,3.3,4.6,,,,,1.93,69.9,51.6,13.3,21.7
LA,2020,1.2,2022.0,1694.0,1579.0,100.0,96.7,2.7,,2.1,,85.4,26.3,43.9,13.2,84.3,2.5,81.0,16.2,1.8,1.0,62.4,20.1,0.2,3.4,1.89,72.2,,16.7,39.2
LA,2024,1.317,2179.0,1821.0,1734.0,100.0,95.8,0.0,,0.0,,88.1,20.1,46.3,21.0,67.9,11.1,84.1,13.5,0.5,1.9,,,,,1.95,76.0,,14.4,29.4
MD,2020,1.577,2424.0,2235.0,2016.0,100.0,76.4,78.0,79.9,62.3,79.2,73.9,13.3,46.8,29.3,66.1,4.5,22.9,64.4,8.1,4.7,66.0,19.7,0.3,1.0,2.11,76.8,53.9,19.3,25.3
MD,2024,1.77,2434.0,2208.0,2082.0,100.0,70.7,76.5,82.2,62.9,,77.5,15.7,47.0,32.0,65.3,2.7,23.0,59.7,13.2,4.1,,,,,2.19,79.1,55.1,25.5,19.8
ME,2020,0.376,2447.0,1957.0,513.0,100.0,95.4,86.8,36.9,32.0,46.3,54.2,11.0,40.1,23.1,72.6,4.3,39.6,56.9,2.9,0.6,45.2,0.7,3.1,0.0,1.53,46.3,19.2,10.7,7.7
ME,2024,0.427,2396.0,1985.0,529.0,100.0,96.2,82.0,34.2,28.0,,58.2,12.4,43.9,26.2,68.7,5.1,36.4,57.3,3.7,2.6,,,,,1.66,52.5,18.1,14.6,12.9
MN,2020,1.681,2328.0,2192.0,1787.0,100.0,93.0,85.6,69.3,59.3,85.2,58.2,16.3,64.0,18.1,55.9,26.0,44.5,43.6,3.3,8.6,83.1,1.4,0.0,0.0,1.87,64.9,55.1,21.2,13.8
MN,2024,1.729,2354.0,2270.0,1915.0,100.0,89.5,85.8,75.9,65.1,,54.8,15.5,60.1,12.7,50.9,36.4,39.6,43.8,7.3,9.4,,,,,2.0,73.6,66.7,12.2,12.9
MS,2020,0.734,2205.0,1995.0,1879.0,100.0,97.7,4.3,,2.8,,80.4,16.9,54.6,12.1,81.8,6.1,72.7,25.4,0.7,1.2,61.6,24.7,0.0,0.6,2.05,74.6,,11.8,26.4
MS,2024,0.855,2098.0,1764.0,1668.0,100.0,98.1,0.6,,0.6,,78.2,20.8,48.1,24.0,65.9,10.1,81.5,18.5,0.0,0.0,,,,,1.99,74.1,,13.7,35.5
MT,2020,0.309,2234.0,2115.0,1024.0,100.0,93.1,53.9,90.6,48.9,87.5,46.9,3.4,53.9,16.1,72.6,11.3,59.8,31.7,4.5,4.0,68.6,0.8,1.6,0.0,2.01,71.6,70.8,6.1,14.8
MT,2024,0.34,2306.0,2112.0,1134.0,100.0,93.0,60.9,74.7,45.5,,47.9,10.1,55.7,21.4,58.8,19.8,63.8,28.7,2.7,4.9,,,,,1.97,73.2,54.2,10.9,13.2
NC,2020,2.936,2218.0,1996.0,1821.0,100.0,90.7,18.8,47.7,9.0,49.0,78.1,13.9,52.6,19.4,73.0,7.6,54.7,43.0,1.8,0.5,50.8,38.2,0.0,0.7,1.99,77.3,31.6,9.1,23.0
NC,2024,3.21,2329.0,2035.0,1766.0,100.0,92.5,20.6,64.2,13.2,,82.2,19.7,53.0,22.4,69.3,8.2,54.1,43.2,2.1,0.6,,,,,2.08,77.6,44.0,12.6,23.2
ND,2020,0.2,2567.0,2458.0,1872.0,100.0,87.7,88.4,81.7,72.2,90.4,56.9,11.1,71.1,16.3,57.5,26.2,54.3,29.3,6.7,9.7,77.6,1.2,0.0,0.0,2.04,75.9,58.0,17.0,15.5
